书名,作者,bookId,划线数,想法数,最后阅读,分类,进度,本地文件
人类简史：从动物到上帝,尤瓦尔·赫拉利,855812,5,0,2025-10-15,历史-世界史,20,历史/人类简史：从动物到上帝.md
教书琐记：上一节有情有趣有料的语文课,朱林鹏,3300161097,11,0,2025-10-14,教育学习-教育,96,教育学习/教书琐记：上一节有情有趣有料的语文课.md
认知觉醒：伴随一生的学习方法论（青少年学习版）,周岭,3300034560,1,0,2025-10-14,个人成长-认知思维,27,个人成长/认知觉醒：伴随一生的学习方法论（青少年学习版）.md
好好学习：个人知识管理精进指南（升级版）,成甲,3300050528,21,0,2025-09-19,个人成长-认知思维,82,个人成长/好好学习：个人知识管理精进指南（升级版）.md
天真的人类学家,奈吉尔·巴利,35281084,1,0,2025-09-19,科学技术-自然科学,0,科学技术/天真的人类学家.md
童年（人文社·语文阅读推荐丛书）,【苏】高尔基,39451567,9,0,2025-09-19,文学-外国文学,99,文学/童年（人文社·语文阅读推荐丛书）.md
白鹿原,陈忠实,34631906,24,4,2025-09-17,精品小说-社会小说,38,精品小说/白鹿原-34631906.md
白鹿原,陈忠实,CB_EML06j060GAO6ya6wwFVNA5U,3,0,2025-09-12,,50,未分类/白鹿原-CB_EML06j060GAO6ya6wwFVNA5U.md
被讨厌的勇气：“自我启发之父”阿德勒的哲学课,岸见一郎 古贺史健,25615385,109,17,2025-09-09,心理-积极心理学,58,心理/被讨厌的勇气：“自我启发之父”阿德勒的哲学课.md
瓦尔登湖,【美】亨利·戴维·梭罗,3300155433,0,1,2025-09-06,文学-散文杂著,0,文学/瓦尔登湖.md
社会学与生活（精要插图第11版）理查德·谢弗,（美）理查德·谢弗著,CB_9eI8qk8qv9N46yQ6wwEHX8WT,1,0,2025-09-05,,2,未分类/社会学与生活（精要插图第11版）理查德·谢弗.md
曼昆经济学原理 (N.格里高利·曼昆) (Z-Library),N.格里高利·曼昆,CB_9O6ABeABR9ZR6yP6ww9rZ4xU,6,0,2025-09-05,,1,未分类/曼昆经济学原理 (N.格里高利·曼昆) (Z-Library).md
冯军旗-中县干部（215页全）,微软用户,CB_Bq3AExAFY9ZR6yP6ww3HkFQK,25,0,2025-09-05,,0,未分类/冯军旗-中县干部（215页全）.md
中县干部 (冯军旗) (Z-Library),,CB_FYdA1vA319ZR6yP6ww8VK6e1,1,0,2025-09-04,,0,未分类/中县干部 (冯军旗) (Z-Library).md
几何原本,欧几里得,25515176,107,3,2025-09-02,科学技术-自然科学,3,科学技术/几何原本.md
美国大城市的死与生（60周年致敬版）,【加】简·雅各布斯,32908875,10,0,2025-09-02,科学技术-建筑,0,科学技术/美国大城市的死与生（60周年致敬版）.md
认知觉醒：开启自我改变的原动力,周岭,33628204,123,13,2025-08-31,心理-认知与行为,19,心理/认知觉醒：开启自我改变的原动力.md
中国近代史,蒋廷黻,909531,7,1,2025-08-31,历史-中国近现代,77,历史/中国近代史.md
中国文化史导论,钱穆,3300071247,1,0,2025-08-30,历史-中国古代,0,历史/中国文化史导论.md
帝国的惆怅,易中天,510890,1,0,2025-08-30,历史-历史读物,0,历史/帝国的惆怅.md
社会学的想象力,【美】C.赖特·米尔斯,26346703,3,0,2025-08-30,社会文化-社科,0,社会文化/社会学的想象力.md
万古江河：中国历史文化的转折与开展,许倬云,26314563,22,0,2025-08-30,社会文化-文化,22,社会文化/万古江河：中国历史文化的转折与开展.md
战时笔记（1914—1917）（维特根斯坦文集·第1卷）,维特根斯坦,33209812,3,1,2025-08-30,哲学宗教-哲学著作,6,哲学宗教/战时笔记（1914—1917）（维特根斯坦文集·第1卷）.md
大卫·科波菲尔（世界文学名著名译典藏）,【英】狄更斯,25409286,5,0,2025-08-30,文学-外国文学,0,文学/大卫·科波菲尔（世界文学名著名译典藏）.md
命若琴弦（轻经典）,史铁生,3300137237,7,2,2025-08-30,精品小说-社会小说,96,精品小说/命若琴弦（轻经典）.md
我不怕迷茫彷徨，只怕虚度这好时光,许政芳,25695452,1,0,2025-08-30,文学-散文杂著,0,文学/我不怕迷茫彷徨，只怕虚度这好时光.md
东京梦华录（果麦经典）,【宋】孟元老著 侯印国译注,38625596,2,0,2025-08-30,历史-历史文化,0,历史/东京梦华录（果麦经典）.md
古兰经注,伊本·凯西尔,40667963,2,0,2025-08-30,哲学宗教-宗教,0,哲学宗教/古兰经注.md
古文观止译注,【清】吴楚材 【清】吴调侯编选 李梦生等译注,31580171,5,0,2025-08-30,文学-古典文学,0,文学/古文观止译注.md
世说新语,【南朝宋】刘义庆著 【南朝梁】刘孝标注 徐传武校点,31580155,1,0,2025-08-30,文学-古典文学,0,文学/世说新语.md
陈瓘词全集,全宋词,3300105862,8,0,2025-08-30,文学-古代诗词,88,文学/陈瓘词全集.md
认知驱动：做成一件对他人很有用的事,周岭,40649986,65,2,2025-08-30,心理-认知与行为,11,心理/认知驱动：做成一件对他人很有用的事.md
把时间当作朋友（第4版）,李笑来,3300069022,10,1,2025-08-30,个人成长-人生哲学,19,个人成长/把时间当作朋友（第4版）.md
中国文化与中国的兵（雷海宗文集）,雷海宗,909527,8,0,2025-08-30,社会文化-文化,89,社会文化/中国文化与中国的兵（雷海宗文集）.md
暗淡蓝点：探寻人类的太空家园,【美】卡尔·萨根,3300118948,2,0,2025-08-29,科学技术-科学科普,0,科学技术/暗淡蓝点：探寻人类的太空家园.md
《资本论》的读法,杨照,3300043860,27,0,2025-08-28,政治军事-政治,51,政治军事/《资本论》的读法.md
国史大纲（全2册）,钱穆,23523074,4,0,2025-08-28,历史-中国古代,0,历史/国史大纲（全2册）.md
这才是心理学（第11版，中文版）,基思·斯坦诺维奇　著,3300014115,25,0,2025-08-28,心理-心理学研究,37,心理/这才是心理学（第11版，中文版）.md
语言学的邀请 (赛谬尔-早川) (Z-Library),wonder,CB_5Kw60E60NAIe6yC6ww9De0o9,50,1,2025-08-28,,57,未分类/语言学的邀请 (赛谬尔-早川) (Z-Library).md
编码：隐匿在计算机软硬件背后的语言,查尔斯.佩措尔德,33381009,7,0,2025-08-28,计算机-编程设计,0,计算机/编码：隐匿在计算机软硬件背后的语言.md
习近平谈治国理政(第一卷),习近平,25078329,3,0,2025-08-28,政治军事-政治,0,政治军事/习近平谈治国理政(第一卷).md
文化苦旅,余秋雨,600142,21,1,2025-08-28,文学-散文杂著,98,文学/文化苦旅.md
贫穷的本质：我们为什么摆脱不了贫穷（修订版）,【美】阿比吉特·班纳吉 【法】埃斯特·迪弗洛,24275985,6,0,2025-08-28,经济理财-财经,79,经济理财/贫穷的本质：我们为什么摆脱不了贫穷（修订版）.md
时间简史（第一推动丛书·宇宙系列）,史蒂芬·霍金,694735,24,2,2025-08-28,科学技术-科学科普,12,科学技术/时间简史（第一推动丛书·宇宙系列）.md
哈利·波特百科全书（哈迷必备的“新华字典”全新典藏版）,李爽,33044280,3,0,2025-08-28,文学-外国文学,0,文学/哈利·波特百科全书（哈迷必备的“新华字典”全新典藏版）.md
计算机网络,谢希仁编著,655484,2,0,2025-08-27,计算机-计算机综合,0,计算机/计算机网络.md
月子：当五个女孩成为妈妈,姚佳黛,3300098412,5,2,2025-08-27,精品小说-女性小说,1,精品小说/月子：当五个女孩成为妈妈.md
楚辞（中英对照）,许渊冲,23875002,3,0,2025-08-27,文学-古代诗词,0,文学/楚辞（中英对照）.md
宋词鉴赏辞典（新一版）（套装共2册）,上海辞书出版社文学鉴赏辞典编纂中心,3300029509,5,0,2025-08-27,文学-文学鉴赏,90,文学/宋词鉴赏辞典（新一版）（套装共2册）.md
